alpha_y,Q,Sync_Full,Amp_Full,Period_Full,Sync_0_50,Amp_0_50,Period_0_50
13.5,0.4,6.31,37.77,8.27,15.72,22.58,6.99
13.5,0.63,2.25,36.03,8.22,10.43,21.43,7.0
13.5,0.8,1.34,34.77,8.19,5.99,20.82,7.04
27.0,0.4,0.02,0.07,1.22,0.2,4.39,5.86
27.0,0.63,0.01,0.06,1.13,0.08,3.93,5.88
27.0,0.8,0.0,0.05,0.93,0.04,3.71,5.88
54.0,0.4,0.0,0.03,1.15,0.0,1.07,3.6
54.0,0.63,0.0,0.03,1.08,0.0,1.02,3.5
54.0,0.8,0.0,0.02,0.89,0.0,1.02,3.43
108.0,0.4,0.0,0.03,1.13,0.0,0.78,2.57
108.0,0.63,0.0,0.03,1.07,0.0,0.8,2.67
108.0,0.8,0.0,0.02,0.88,0.0,0.67,2.22
216.0,0.4,0.0,0.03,1.14,0.0,0.77,2.59
216.0,0.63,0.0,0.03,1.07,0.0,0.78,2.54
216.0,0.8,0.0,0.02,0.88,0.0,0.79,2.64
432.0,0.4,0.0,0.03,1.13,0.0,0.77,2.46
432.0,0.63,0.0,0.03,1.07,0.0,0.74,2.43
432.0,0.8,0.0,0.02,0.89,0.0,0.76,2.51
864.0,0.4,0.0,0.03,1.13,0.0,0.74,2.41
864.0,0.63,0.0,0.03,1.07,0.0,0.73,2.43
864.0,0.8,0.0,0.02,0.89,0.0,0.78,2.6
1728.0,0.4,0.0,0.03,1.13,0.0,0.67,2.24
1728.0,0.63,0.0,0.03,1.07,0.0,0.7,2.4
1728.0,0.8,0.0,0.02,0.88,0.0,0.73,2.52
3456.0,0.4,0.0,0.03,1.13,0.0,0.62,2.15
3456.0,0.63,0.0,0.03,1.06,0.0,0.65,2.23
3456.0,0.8,0.0,0.02,0.88,0.0,0.64,2.26
