alpha_x,Q,Sync_Full,Amp_Full,Period_Full,Sync_0_50,Amp_0_50,Period_0_50
0.84,0.4,0.01,0.01,1.14,0.07,0.26,2.65
0.84,0.63,0.01,0.01,1.08,0.07,0.31,3.27
0.84,0.8,0.01,0.01,0.9,0.07,0.35,4.01
1.69,0.4,0.01,0.01,1.14,0.11,0.15,2.55
1.69,0.63,0.01,0.01,1.07,0.11,0.16,2.82
1.69,0.8,0.01,0.0,0.89,0.11,0.19,3.44
3.38,0.4,0.01,0.0,1.13,0.1,0.08,2.43
3.38,0.63,0.01,0.0,1.08,0.1,0.1,3.0
3.38,0.8,0.01,0.0,0.89,0.1,0.1,3.2
6.75,0.4,0.01,0.0,1.13,0.06,0.04,2.44
6.75,0.63,0.01,0.0,1.07,0.06,0.05,3.09
6.75,0.8,0.01,0.0,0.89,0.06,0.04,3.14
13.5,0.4,0.0,0.0,1.12,0.04,0.02,2.03
13.5,0.63,0.0,0.0,1.06,0.04,0.03,2.71
13.5,0.8,0.0,0.0,0.88,0.04,0.02,2.55
27.0,0.4,0.0,0.0,1.12,0.02,0.02,2.15
27.0,0.63,0.0,0.0,1.06,0.02,0.02,2.49
27.0,0.8,0.0,0.0,0.88,0.02,0.02,2.84
54.0,0.4,0.0,0.0,1.12,0.01,0.02,2.06
54.0,0.63,0.0,0.0,1.06,0.01,0.02,2.29
54.0,0.8,0.0,0.0,0.87,0.01,0.02,2.44
108.0,0.4,0.0,0.0,1.11,0.01,0.02,1.81
108.0,0.63,0.0,0.0,1.05,0.01,0.02,2.09
108.0,0.8,0.0,0.0,0.88,0.01,0.02,2.95
216.0,0.4,0.0,0.0,1.11,0.0,0.02,1.94
216.0,0.63,0.0,0.0,1.06,0.0,0.02,2.49
216.0,0.8,0.0,0.0,0.88,0.0,0.02,2.55
432.0,0.4,0.0,0.0,1.12,0.0,0.02,2.05
432.0,0.63,0.0,0.0,1.06,0.0,0.02,2.49
432.0,0.8,0.0,0.0,0.87,0.0,0.02,2.48
864.0,0.4,0.0,0.0,1.12,0.0,0.02,2.05
864.0,0.63,0.0,0.0,1.06,0.0,0.02,2.46
864.0,0.8,0.0,0.0,0.87,0.0,0.02,2.53
1728.0,0.4,0.0,0.0,1.12,0.0,0.02,2.16
1728.0,0.63,0.0,0.0,1.06,0.0,0.02,2.26
1728.0,0.8,0.0,0.0,0.88,0.0,0.02,2.66
3456.0,0.4,0.0,0.0,1.11,0.0,0.02,1.8
3456.0,0.63,0.0,0.0,1.06,0.0,0.02,2.16
3456.0,0.8,0.0,0.0,0.88,0.0,0.02,3.06
